name, measure
flour,dl
egg,st
milk,dl
salt,tsk
apple,g
butter,g
cinnamon,tsk
sugar,tsk
sugar,dl
oat,dl
sliced carrots,dl
rapeseed oil,dl
vanilla sugar,tsk
vanila powder,krm
baking powder,krm
Sausage,g
rapeseed oil,tsk
bicarbonate,dl
freshcheese,g
icing sugar,dl
lemonjuice,tsk
japanese soy,tsk
Dijon mustard,tsk
cooking cream,dl
tomato puree,msk
pepper,krm
yellow onion,st
rhubarb,g
butter,tsk
coco,dl
potato flour,msk
ground beef,g
bread crumbs ,msk
blueberry,g
light syrup,dl
powdered sugar,dl
potato,g
Sourcream,msk
crème fraiche,dl
taco mix,tsk
graded cheese,dl
macaroni,dl
bacon,g
cheese sauce,dl
pepper,st
potato,st
garlic ,st
paprika powder,tsk
oregano,tsk
white beans,g
Meat broth,st
chickpeas,g
chili,st
parsley,dl
coriander,dl
cumin,msk
ground coriander,msk
bicarbonate,tsk
oil,dl
salmon,g
oil,msk
lemon peel,tsk
Basmati rice,dl
carrots,st
red paprika,st
sugar peas,g
spaghetti,port
red onion,st
frozen corn,dl
tuna from the can,can
chiliflakes,krm
plum tomatos,g
argual,g
spaghetti,g
parmesan,dl
hamburger bread,st
sweet chili sauce,dl
chili powder,krm
corn,g
water,dl
