name,text,type,hovertext
Pancakes,"1: Mix the flour and salt in a bowl. Whisk in half the milk and beat until smooth. Whisk in the rest of the milk and the eggs. 2: Fry thin pancakes in a little butter- for each pancake- in a frying pan or pancake pan.",Dessert,Cooked batter made from milk - flour and eggs. Usually consumed together with a sweet or savory topping.
Brownie,"1: Set the oven to 175°. Place baking paper in a square baking tin- about 20x30 cm. 2: Melt the butter and stir in the cocoa. 3: Mix the eggs and sugar together in a bowl. Stir in the cocoa mixture- salt- vanilla powder and the flour mixed with baking powder. 4: Spread the mixture in the tin. Bake in the middle of the oven for 20 to 25 minutes. 5: Leave to cool and cut the cake into squares. Store in the fridge.",Dessert,Easy recipe for some good-tasting brownies. They are typically eaten by hand. often accompanied by milk - whipped cream or sprinkled powdered sugar.
Sausage stroganoff,"1: Cut the sausage into sticks. Peel and chop the onion. 2: Fry the sausage and onion in the oil in a frying pan for about 5 minutes. Add the tomato paste and fry for a minute. 3: Stir in the cream- milk- soy sauce and dijon mustard. Simmer for about 5 minutes. 4: Season to taste with pepper and salt.",Meat,"The Swedes loves sausage stroganoff. The most commonly used sausage is ""varmkorv"" and ""falukorv"" which has its roots in the Swedish 16th century."
Falafel,"1: Soak the chickpeas in about 1 litre of water for at least 12 hours. Drain the chickpeas and rinse. 2: Peel and chop the onion and garlic. Core the chilli and then cut it into pieces. Blend the onion- garlic- chilli- parsley and chopped coriander in a food processor until smooth. Place in a bowl. 3: Blend the chickpeas until they are gritty- add a little water if necessary. Do not blend until smooth. Add to the bowl of mixed herbs and add cumin- coriander- salt and bicarbonate. Add a little water if necessary- the mixture should be a little crumbly and sticky. 4: Heat the oil to about 180°C in a saucepan. 5: Press and shape into about 16 balls by hand (for 4 ports)- alternatively using a small glass scoop or two spoons. Carefully place in the oil. Fry in batches until golden- about 5 minutes. Lift up with a slotted spoon. Drain on some kitchen paper and serve immediately",Vegan,An egyptian dish made of chickpeas. This dish is mostly popular in the middle-east but you can also find it in the carriages around Linnéuniversitet campus.
Salmon in the oven,"1: Set the oven to 175°C. 2: Place the salmon in a greased baking dish. Drizzle with oil and sprinkle with salt- pepper and lemon peel. 3: Place in the oven for about 25 minutes or until the salmon has an internal temperature of 56°C.",Fish,If you want an easy-fancy main dish - this is it! It can be a midweek dinner or a meal with friends. Salmon fits most occasions.
Muffins,"1: Turn the oven to 200 degrees. 2: Melt the butter - put to the side and let cool. 3: Fisk the eggs and sugar fluffy in a bowl. 4: Mix flour - baking powder and vanilla sugar in a bowl. Mix the eggs and the sugar mix. 5: Add alternately the melted butter - milk - and the other ingredients. Carefully mix the batter. 6: Distribute the batter in muffin tins. Fill them approximately 2/3. Bake in the oven for approximately 15 minutes.",Dessert,A muffin is a small domed spongy bread/cake. Usually eaten as a dessert with different types of topping for example blueberries - chocolate or glace.
Omellette,"1: Heat oil and butter in a pan on medium heat until the butter is melted. 2: Pour eggs into pan.",Appetizer,Omelette is made from beaten eggs. It is quite common for the omelette to be folded around fillings such as cheese- vegetables and mushroooms.
Meatballs and mashed potatoes,"1: Blend lingon berries and sugar and let sit in rooms temperature until the sugar has dissolved. Mix now and then. 2: Mix breadcrumbs - milk and let sit for 5 minutes. Then mix it with the ground beef - egg - onion - salt  and pepper. 3: Then roll the ground beef into balls and fry in butter/oil. 4: Cook potatoes in salted water. 5: Mash the potatoes and mix with butter - sour cream and add some milk. 6: Add salt and pepper. ",Meat,When you're running low on time to get dinner on the table this is a great solution. The meatballs and potatoes cook at the same time so it's ready in 30min.
Mac and cheese,"1: Turn the oven to 225 celsius. 2: Boil macaroni according to instructions on package. 3: Fry bacon in a dry frying pan. 4: Mix macaroni - cheese sauce - milk - bacon and grated cheese in an oven form. (Cook for 10 minutes).",Pasta,Mac and cheese is the most iconic American dish. The American way includes curved macaroni pasta and cheddar cheese. More modern varieties include vegetables - lobster - crab. 
Applepie,"1: Put the oven to 225 degrees Celcius 2: Cut the butter into pieces - stir butter. flour and oat to a mass. Mix sugar and salt. 3: Peel the core out and cut the apples into smaller pieces. Mix the apples with cinnamon- sugar - and salt into a pie form. 4: Put the crumbs over the apples and bake them in the oven for 20-25 minutes.",Dessert,It's taken a while to figure out this recipe. This simple recipe guarantees perfectly cooked apples. No need for pre-cooking!
