Pwo_name,Koffein,Beta_alanin,L_citrulinmalat,Trikreatinmalat,Beetroot extract,AAKG,L_teanin,Citrulline malate,Recommended dosage in grams,Size in grams
Gaam Candy series P.W.R,250,2500,1500,2000,300,1000,0,1500,13,360
Aware Nutrition PWO,200,2000,0,2000,0,1000,200,4000,11,400
Delta Nutrition Supreme PWO,250,3400,0,0,0,3500,0,6000,19,300
Gaam PUMP,50,2000,2500,0,250,0,0,0,10,300
SSN Alpha Pump,50,2000,0,0,250,0,0,3000,10,300
Viterna Samurai Fury ,365,2500,0,0,0,0,300,2000,NULL,375
SSN Awaken,150,2000,0,0,0,0,200,4500,10,400
Womens best Pre Workout Booster,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300
WellAware PWO pulver ,200,3600,0,0,0,2000,200,0,12,300
Sportlab BERZERK 5th,400,3600,4000,0,0,0,0,0,17,420
Delta Nutrition Xtreme Muscle Pump,0,0,0,0,0,4500,0,3000,16,300
Fairing PUMP,0,0,0,0,300,0,0,3800,20,300
Rich Piana Nutrition Legendary,0,2500,4000,0,0,0,0,0,12.4,375
Scitec Nutrition Attack! 2.0,0,0,0,0,0,0,0,0,10,320
Self Omninutrition Inject PWO,0,3200,0,0,0,3000,0,3000,16,400
PULS Nutrition Pre Workout,180,2000,2200,0,0,2000,0,2200,15,300
Aldrig Vila Pre Workout Complete 2.0,275,2600,0,0,0,0,200,3000,17,330
Ä NANO,240,2000,5000,0,0,0,100,5000,10.6,320
FAST Sport Nutrition Prework,175,1600,0,0,0,0,0,3400,14,210
Aware Nutrition Aura_7 PWO,200,2000,4500,0,0,0,100,0,12,400
